,Onduleur A: energie totale (MWh),Onduleur B: energie totale (MWh),Onduleur C: energie totale (MWh),Onduleur D-A: energie totale (MWh),Onduleur D-B: energie totale (MWh),Onduleur: energie totale (MWh)
2022-08-26 11:20:00+00:00,0.23145,0.348332,0.46828,0.301114,0.302404,78.259
2022-08-26 11:30:00+00:00,0.23145,0.351433,0.472804,0.30419,0.305588,52.459
2022-08-26 11:40:00+00:00,0.23145,0.354372,0.47736,0.307163,0.308607,55.335
2022-08-26 11:50:00+00:00,0.23145,0.357079,0.481341,0.309849,0.311361,77.043
2022-08-26 12:00:00+00:00,0.23145,0.359153,0.484386,0.311946,0.31352,52.64
2022-08-26 12:10:00+00:00,0.23145,0.361703,0.488057,0.314469,0.316123,37.333
2022-08-26 12:20:00+00:00,0.23145,0.364088,0.492206,0.316915,0.318551,39.175
2022-08-26 12:30:00+00:00,0.23145,0.366171,0.495853,0.31898,0.320625,89.927
2022-08-26 12:40:00+00:00,0.23145,0.369284,0.501148,0.322215,0.323808,112.516
2022-08-26 12:50:00+00:00,0.23145,0.371571,0.504443,0.324472,0.326042,53.434
2022-08-26 13:00:00+00:00,0.23145,0.37371,0.507693,0.326767,0.328298,80.785
2022-08-26 13:10:00+00:00,0.23145,0.37608,0.511423,0.329378,0.330842,
2022-08-26 13:20:00+00:00,0.23145,0.378057,0.514316,0.331475,0.332912,
2022-08-26 13:30:00+00:00,0.23145,0.380943,0.518803,0.334413,0.335752,
2022-08-26 13:40:00+00:00,0.23145,0.383302,0.522289,0.336856,0.338129,
2022-08-26 13:50:00+00:00,0.23145,0.385635,0.525773,0.339261,0.340471,
2022-08-26 14:00:00+00:00,0.23145,0.38927,0.531096,0.34275,0.34401,
2022-08-26 14:10:00+00:00,0.23145,0.391936,0.53514,0.34567,0.346794,
2022-08-26 14:20:00+00:00,0.23145,0.394661,0.539136,0.348486,0.349505,
2022-08-26 14:30:00+00:00,0.23145,0.398499,0.54475,0.352382,0.353303,
2022-08-26 14:40:00+00:00,0.23145,0.401758,0.549713,0.355782,0.35664,
2022-08-26 14:50:00+00:00,0.23145,0.403894,0.552921,0.358062,0.358772,
2022-08-26 15:00:00+00:00,0.23145,0.406195,0.556324,0.360494,0.361075,
2022-08-26 15:10:00+00:00,0.23145,0.408114,0.559143,0.362441,0.362872,
2022-08-26 15:20:00+00:00,0.23145,0.411416,0.564155,0.366044,0.366265,
2022-08-26 15:30:00+00:00,0.23145,0.415171,0.569669,0.370017,0.369945,
2022-08-26 15:40:00+00:00,0.23145,0.418459,0.574624,0.373565,0.373269,
2022-08-26 15:50:00+00:00,0.23145,0.422249,0.580249,0.377577,0.37695,
2022-08-26 16:00:00+00:00,0.23145,0.425137,0.584562,0.380754,0.379742,
2022-08-26 16:10:00+00:00,0.23145,0.427041,0.587423,0.382908,0.381669,
2022-08-26 16:20:00+00:00,0.23145,0.430005,0.591811,0.386124,0.384563,
2022-08-26 16:30:00+00:00,0.23145,0.433044,0.59628,0.389512,0.387487,
2022-08-26 16:40:00+00:00,0.23145,0.436057,0.600721,0.392801,0.390332,
2022-08-26 16:50:00+00:00,0.23145,0.438237,0.603878,0.395155,0.39234,
2022-08-26 17:00:00+00:00,0.23145,0.440993,0.607914,0.398211,0.394937,
2022-08-26 17:10:00+00:00,0.23145,0.443425,0.611516,0.400957,0.397236,
2022-08-26 17:20:00+00:00,0.23145,0.444607,0.613784,0.4036,0.399391,
2022-08-26 17:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 17:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 17:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 18:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 18:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 18:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
